Genes for module 137
LocusLink	Name	P-value	Description
5798	PTPRN	<1e-14	protein tyrosine phosphatase, receptor type, N.IA2; IA-2; ICA512; R-PTP-N; IA-2PTP.protein tyrosine phosphatase, receptor type, N precursor.
6252	RTN1	<1e-14	reticulon 1.NSP.reticulon 1.
3800	KIF5C	<1e-14	kinesin family member 5C.KINN; NKHC; NKHC2; NKHC-2; KIAA0531..
5122	PCSK1	<1e-14	proprotein convertase subtilisinkexin type 1.PC1; PC3; NEC1; SPC3.proprotein convertase subtilisinkexin type 1 preproprotein.
9077	ARHI	<1e-14	ras homolog gene family, member I.NOEY2.ras homolog I.
25999		<1e-14	CLIPR59; DKFZp586N1922.CLIP-170-related protein.May be a cytoskeleton-associated protein; contains a CAP-Gly domain|Proteome
8537	BCAS1	<1e-14	breast carcinoma amplified sequence 1.AIBC1; NABC1.breast carcinoma amplified sequence 1.
1646	AKR1C2	<1e-14	aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III).DD; DD2; BABP; DDH2; HBAB; HAKRD; MCDR2; AKR1C-pseudo.aldo-keto reductase family 1, member C2.
6649	SOD3	<1e-14	superoxide dismutase 3, extracellular..superoxide dismutase 3, extracellular.
8484	GALR3	<1e-14	galanin receptor 3..galanin receptor 3.
7345	UCHL1	<1e-14	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase).PARK5; PGP9.5.ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase).
6447	SGNE1	<1e-14	secretory granule, neuroendocrine protein 1 (7B2 protein).P7B2.secretory granule, neuroendocrine protein 1 (7B2 protein).
4129	MAOB	<1e-14	monoamine oxidase B.MGC26382.amine oxidase (flavin-containing).
5179	PENK	<1e-14	proenkephalin..proenkephalin.
57416		<1e-14	
9651		<1e-14	FLJ00417..
4747	NEFL	<1e-14	neurofilament, light polypeptide 68kDa.NFL; NF68; CMT1F; CMT2E.neurofilament, light polypeptide 68kDa.Light subunit of neurofilament; intermediate filament|Proteome
5354	PLP1	<1e-14	proteolipid protein 1 (Pelizaeus-Merzbacher disease, spastic paraplegia 2, uncomplicated).PLP; PMD; MMPL; SPG2; PLPDM20.proteolipid protein 1 isoform 1.
12	SERPINA3	<1e-14	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3.ACT; AACT.alpha-1-antichymotrypsin, precursor.
6604	SMARCD3	<1e-14	SWISNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3.BAF60C; CRACD3.SWISNF-related matrix-associated actin-dependent regulator of chromatin d3.
9737		<1e-14	KIAA0443.G protein-coupled receptor-associated sorting protein.
9478	CABP1	<1e-14	calcium binding protein 1 (calbrain).CALBRAIN; HCALB_BR.calcium binding protein 1 isoform 2.
5799	PTPRN2	<1e-14	protein tyrosine phosphatase, receptor type, N polypeptide 2.IAR; ICAAR; PTPRP; PHOGRIN; IA-2beta; KIAA0387; IAR PTPRP.protein tyrosine phosphatase, receptor type, N polypeptide 2 isoform 3 precursor.
760	CA2	<1e-14	carbonic anhydrase II.CA-II.carbonic anhydrase II.
116138	KLHDC3	<1e-14	kelch domain containing 3.PEAS; HPEAS; hPeas; dJ20C7.3.testis intracellular mediator protein.
5005	ORM2	<1e-14	orosomucoid 2.AGP2; AGP-B; AGP-B.orosomucoid 2.
6750	SST	<1e-14	somatostatin.SMST.somatostatin.
